day eternity:1600 replacement_initial_a:0.04 replacement_final_a:0 number_of_contact_events_per_day_a:5 pre_active_state_duration_1:2 pre_active_state_duration_2:2 active_state_duration_1:3 active_state_duration_2:3 transmission_probability_1_a:0.14 transmission_probability_2_a:0.25 days before configuration switch: 2000 number_of_contact_events_per_day_b:3 replacement_initial_b:0.04 replacement_final_b:0 transmission_probability_1_b:0.14 transmission_probability_2_b:0.15 transformation_period:1;
 day; p_triggered; p_initial; p_active_1; p_triggered_1; p_active_2; p_triggered_2; strain2%; max_triggered; max_triggered_1; max_triggered_2;
240;0.0179374;0.549959;0.0457036;0.0179374;0;0;0;0.0405862;0.0405862;0;
241;0.0179413;0.550019;0.0457085;0.0179413;0;0;0;0.0405862;0.0405862;0;
242;0.0179456;0.550073;0.0457148;0.0179456;0;0;0;0.0405862;0.0405862;0;
243;0.0179502;0.55012;0.0457224;0.0179502;0;0;0;0.0405862;0.0405862;0;
244;0.0179551;0.55016;0.0457313;0.0179551;0;0;0;0.0405862;0.0405862;0;
245;0.0179601;0.550193;0.0457412;0.0179601;0;0;0;0.0405862;0.0405862;0;
246;0.0179654;0.55022;0.0457521;0.0179654;0;0;0;0.0405862;0.0405862;0;
247;0.0179707;0.550241;0.0457638;0.0179707;0;0;0;0.0405862;0.0405862;0;
248;0.0179761;0.550255;0.0457761;0.0179761;0;0;0;0.0405862;0.0405862;0;
249;0.0179815;0.550263;0.045789;0.0179815;0;0;0;0.0405862;0.0405862;0;
250;0.017987;0.550266;0.0458023;0.017987;0;0;0;0.0405862;0.0405862;0;
251;0.0179923;0.550263;0.0458159;0.0179923;0;0;0;0.0405862;0.0405862;0;
252;0.0179975;0.550255;0.0458297;0.0179975;0;0;0;0.0405862;0.0405862;0;
253;0.0180027;0.550242;0.0458435;0.0180027;0;0;0;0.0405862;0.0405862;0;
254;0.0180076;0.550225;0.0458572;0.0180076;0;0;0;0.0405862;0.0405862;0;
255;0.0180123;0.550203;0.0458708;0.0180123;0;0;0;0.0405862;0.0405862;0;
256;0.0180169;0.550178;0.0458842;0.0180169;0;0;0;0.0405862;0.0405862;0;
257;0.0180211;0.55015;0.0458972;0.0180211;0;0;0;0.0405862;0.0405862;0;
258;0.0180251;0.550119;0.0459097;0.0180251;0;0;0;0.0405862;0.0405862;0;
259;0.0180289;0.550085;0.0459218;0.0180289;0;0;0;0.0405862;0.0405862;0;
260;0.0180323;0.55005;0.0459333;0.0180323;0;0;0;0.0405862;0.0405862;0;
261;0.0180354;0.550012;0.0459441;0.0180354;0;0;0;0.0405862;0.0405862;0;
262;0.0180382;0.549974;0.0459543;0.0180382;0;0;0;0.0405862;0.0405862;0;
263;0.0180407;0.549934;0.0459638;0.0180407;0;0;0;0.0405862;0.0405862;0;
264;0.0180429;0.549894;0.0459725;0.0180429;0;0;0;0.0405862;0.0405862;0;
265;0.0180447;0.549853;0.0459804;0.0180447;0;0;0;0.0405862;0.0405862;0;
266;0.0180462;0.549813;0.0459875;0.0180462;0;0;0;0.0405862;0.0405862;0;
267;0.0180474;0.549773;0.0459938;0.0180474;0;0;0;0.0405862;0.0405862;0;
268;0.0180484;0.549734;0.0459993;0.0180484;0;0;0;0.0405862;0.0405862;0;
